program,sample_method,site,sample_id,latitude_wgs84,longitude_wgs84,sample_date,sav_incidence,sav_mass_fresh_g,species_code,species_incidence,species_rake_cover_percent,species_mass_fresh_estimated_g
DSRS,rake_handle,DI,DSRS_001,38.08298879,-121.7239087,2017-05-25,0,0,EGEDEN,0,0,0
DSRS,rake_handle,DI,DSRS_001,38.08298879,-121.7239087,2017-05-25,0,0,ELOCAN,0,0,0
DSRS,rake_handle,DI,DSRS_001,38.08298879,-121.7239087,2017-05-25,0,0,CERDEM,0,0,0
DSRS,rake_handle,DI,DSRS_001,38.08298879,-121.7239087,2017-05-25,0,0,POTCRI,0,0,0
DSRS,rake_handle,DI,DSRS_001,38.08298879,-121.7239087,2017-05-25,0,0,MYRSPI,0,0,0
DSRS,rake_handle,DI,DSRS_001,38.08298879,-121.7239087,2017-05-25,0,0,STUPEC,0,0,0
DSRS,rake_handle,DI,DSRS_001,38.08298879,-121.7239087,2017-05-25,0,0,NAJGUA,0,0,0
DSRS,rake_handle,DI,DSRS_001,38.08298879,-121.7239087,2017-05-25,0,0,POTNOD,0,0,0
DSRS,rake_handle,DI,DSRS_001,38.08298879,-121.7239087,2017-05-25,0,0,CABCAR,0,0,0
DSRS,rake_handle,DI,DSRS_002,38.08307424,-121.7223954,2017-05-25,1,700,EGEDEN,1,100,700
DSRS,rake_handle,DI,DSRS_002,38.08307424,-121.7223954,2017-05-25,1,700,ELOCAN,0,0,0
DSRS,rake_handle,DI,DSRS_002,38.08307424,-121.7223954,2017-05-25,1,700,CERDEM,0,0,0
DSRS,rake_handle,DI,DSRS_002,38.08307424,-121.7223954,2017-05-25,1,700,POTCRI,0,0,0
DSRS,rake_handle,DI,DSRS_002,38.08307424,-121.7223954,2017-05-25,1,700,MYRSPI,0,0,0
DSRS,rake_handle,DI,DSRS_002,38.08307424,-121.7223954,2017-05-25,1,700,STUPEC,0,0,0
DSRS,rake_handle,DI,DSRS_002,38.08307424,-121.7223954,2017-05-25,1,700,NAJGUA,0,0,0
DSRS,rake_handle,DI,DSRS_002,38.08307424,-121.7223954,2017-05-25,1,700,POTNOD,0,0,0
DSRS,rake_handle,DI,DSRS_002,38.08307424,-121.7223954,2017-05-25,1,700,CABCAR,0,0,0
DSRS,rake_handle,DI,DSRS_003,38.08320284,-121.7233099,2017-05-25,1,832,EGEDEN,1,90,748.8000000000001
DSRS,rake_handle,DI,DSRS_003,38.08320284,-121.7233099,2017-05-25,1,832,ELOCAN,0,0,0
DSRS,rake_handle,DI,DSRS_003,38.08320284,-121.7233099,2017-05-25,1,832,CERDEM,1,10,83.2
DSRS,rake_handle,DI,DSRS_003,38.08320284,-121.7233099,2017-05-25,1,832,POTCRI,0,0,0
DSRS,rake_handle,DI,DSRS_003,38.08320284,-121.7233099,2017-05-25,1,832,MYRSPI,0,0,0
DSRS,rake_handle,DI,DSRS_003,38.08320284,-121.7233099,2017-05-25,1,832,STUPEC,0,0,0
DSRS,rake_handle,DI,DSRS_003,38.08320284,-121.7233099,2017-05-25,1,832,NAJGUA,0,0,0
DSRS,rake_handle,DI,DSRS_003,38.08320284,-121.7233099,2017-05-25,1,832,POTNOD,0,0,0
DSRS,rake_handle,DI,DSRS_003,38.08320284,-121.7233099,2017-05-25,1,832,CABCAR,0,0,0
DSRS,rake_handle,DI,DSRS_004,38.08328967,-121.723838,2017-05-25,1,1746,EGEDEN,1,100,1746
DSRS,rake_handle,DI,DSRS_004,38.08328967,-121.723838,2017-05-25,1,1746,ELOCAN,0,0,0
DSRS,rake_handle,DI,DSRS_004,38.08328967,-121.723838,2017-05-25,1,1746,CERDEM,0,0,0
DSRS,rake_handle,DI,DSRS_004,38.08328967,-121.723838,2017-05-25,1,1746,POTCRI,0,0,0
DSRS,rake_handle,DI,DSRS_004,38.08328967,-121.723838,2017-05-25,1,1746,MYRSPI,0,0,0
DSRS,rake_handle,DI,DSRS_004,38.08328967,-121.723838,2017-05-25,1,1746,STUPEC,0,0,0
DSRS,rake_handle,DI,DSRS_004,38.08328967,-121.723838,2017-05-25,1,1746,NAJGUA,0,0,0
DSRS,rake_handle,DI,DSRS_004,38.08328967,-121.723838,2017-05-25,1,1746,POTNOD,0,0,0
DSRS,rake_handle,DI,DSRS_004,38.08328967,-121.723838,2017-05-25,1,1746,CABCAR,0,0,0
DSRS,rake_handle,DI,DSRS_005,38.08334413,-121.7232947,2017-05-25,1,1397,EGEDEN,1,100,1397
DSRS,rake_handle,DI,DSRS_005,38.08334413,-121.7232947,2017-05-25,1,1397,ELOCAN,0,0,0
DSRS,rake_handle,DI,DSRS_005,38.08334413,-121.7232947,2017-05-25,1,1397,CERDEM,0,0,0
DSRS,rake_handle,DI,DSRS_005,38.08334413,-121.7232947,2017-05-25,1,1397,POTCRI,0,0,0
DSRS,rake_handle,DI,DSRS_005,38.08334413,-121.7232947,2017-05-25,1,1397,MYRSPI,0,0,0
DSRS,rake_handle,DI,DSRS_005,38.08334413,-121.7232947,2017-05-25,1,1397,STUPEC,0,0,0
DSRS,rake_handle,DI,DSRS_005,38.08334413,-121.7232947,2017-05-25,1,1397,NAJGUA,0,0,0
DSRS,rake_handle,DI,DSRS_005,38.08334413,-121.7232947,2017-05-25,1,1397,POTNOD,0,0,0
DSRS,rake_handle,DI,DSRS_005,38.08334413,-121.7232947,2017-05-25,1,1397,CABCAR,0,0,0
DSRS,rake_handle,DI,DSRS_006,38.08336408,-121.7198779,2017-05-25,1,1060,EGEDEN,1,100,1060
DSRS,rake_handle,DI,DSRS_006,38.08336408,-121.7198779,2017-05-25,1,1060,ELOCAN,0,0,0
DSRS,rake_handle,DI,DSRS_006,38.08336408,-121.7198779,2017-05-25,1,1060,CERDEM,0,0,0
DSRS,rake_handle,DI,DSRS_006,38.08336408,-121.7198779,2017-05-25,1,1060,POTCRI,0,0,0
DSRS,rake_handle,DI,DSRS_006,38.08336408,-121.7198779,2017-05-25,1,1060,MYRSPI,0,0,0
DSRS,rake_handle,DI,DSRS_006,38.08336408,-121.7198779,2017-05-25,1,1060,STUPEC,0,0,0
DSRS,rake_handle,DI,DSRS_006,38.08336408,-121.7198779,2017-05-25,1,1060,NAJGUA,0,0,0
DSRS,rake_handle,DI,DSRS_006,38.08336408,-121.7198779,2017-05-25,1,1060,POTNOD,0,0,0
DSRS,rake_handle,DI,DSRS_006,38.08336408,-121.7198779,2017-05-25,1,1060,CABCAR,0,0,0
DSRS,rake_handle,DI,DSRS_007,38.08338551,-121.7221642,2017-05-25,1,1076,EGEDEN,1,100,1076
DSRS,rake_handle,DI,DSRS_007,38.08338551,-121.7221642,2017-05-25,1,1076,ELOCAN,0,0,0
DSRS,rake_handle,DI,DSRS_007,38.08338551,-121.7221642,2017-05-25,1,1076,CERDEM,0,0,0
DSRS,rake_handle,DI,DSRS_007,38.08338551,-121.7221642,2017-05-25,1,1076,POTCRI,0,0,0
DSRS,rake_handle,DI,DSRS_007,38.08338551,-121.7221642,2017-05-25,1,1076,MYRSPI,0,0,0
DSRS,rake_handle,DI,DSRS_007,38.08338551,-121.7221642,2017-05-25,1,1076,STUPEC,0,0,0
DSRS,rake_handle,DI,DSRS_007,38.08338551,-121.7221642,2017-05-25,1,1076,NAJGUA,0,0,0
DSRS,rake_handle,DI,DSRS_007,38.08338551,-121.7221642,2017-05-25,1,1076,POTNOD,0,0,0
DSRS,rake_handle,DI,DSRS_007,38.08338551,-121.7221642,2017-05-25,1,1076,CABCAR,0,0,0
DSRS,rake_handle,DI,DSRS_008,38.08341728,-121.7215249,2017-05-25,1,2658,EGEDEN,1,100,2658
DSRS,rake_handle,DI,DSRS_008,38.08341728,-121.7215249,2017-05-25,1,2658,ELOCAN,0,0,0
DSRS,rake_handle,DI,DSRS_008,38.08341728,-121.7215249,2017-05-25,1,2658,CERDEM,0,0,0
DSRS,rake_handle,DI,DSRS_008,38.08341728,-121.7215249,2017-05-25,1,2658,POTCRI,0,0,0
DSRS,rake_handle,DI,DSRS_008,38.08341728,-121.7215249,2017-05-25,1,2658,MYRSPI,0,0,0
DSRS,rake_handle,DI,DSRS_008,38.08341728,-121.7215249,2017-05-25,1,2658,STUPEC,0,0,0
DSRS,rake_handle,DI,DSRS_008,38.08341728,-121.7215249,2017-05-25,1,2658,NAJGUA,0,0,0
DSRS,rake_handle,DI,DSRS_008,38.08341728,-121.7215249,2017-05-25,1,2658,POTNOD,0,0,0
DSRS,rake_handle,DI,DSRS_008,38.08341728,-121.7215249,2017-05-25,1,2658,CABCAR,0,0,0
DSRS,rake_handle,DI,DSRS_009,38.08342133,-121.7191173,2017-05-25,1,304,EGEDEN,1,100,304
DSRS,rake_handle,DI,DSRS_009,38.08342133,-121.7191173,2017-05-25,1,304,ELOCAN,0,0,0
DSRS,rake_handle,DI,DSRS_009,38.08342133,-121.7191173,2017-05-25,1,304,CERDEM,0,0,0
DSRS,rake_handle,DI,DSRS_009,38.08342133,-121.7191173,2017-05-25,1,304,POTCRI,0,0,0
DSRS,rake_handle,DI,DSRS_009,38.08342133,-121.7191173,2017-05-25,1,304,MYRSPI,0,0,0
DSRS,rake_handle,DI,DSRS_009,38.08342133,-121.7191173,2017-05-25,1,304,STUPEC,0,0,0
DSRS,rake_handle,DI,DSRS_009,38.08342133,-121.7191173,2017-05-25,1,304,NAJGUA,0,0,0
DSRS,rake_handle,DI,DSRS_009,38.08342133,-121.7191173,2017-05-25,1,304,POTNOD,0,0,0
DSRS,rake_handle,DI,DSRS_009,38.08342133,-121.7191173,2017-05-25,1,304,CABCAR,0,0,0
DSRS,rake_handle,DI,DSRS_010,38.08348097,-121.720742,2017-05-25,1,1570,EGEDEN,1,100,1570
DSRS,rake_handle,DI,DSRS_010,38.08348097,-121.720742,2017-05-25,1,1570,ELOCAN,0,0,0
DSRS,rake_handle,DI,DSRS_010,38.08348097,-121.720742,2017-05-25,1,1570,CERDEM,0,0,0
DSRS,rake_handle,DI,DSRS_010,38.08348097,-121.720742,2017-05-25,1,1570,POTCRI,0,0,0
DSRS,rake_handle,DI,DSRS_010,38.08348097,-121.720742,2017-05-25,1,1570,MYRSPI,0,0,0
DSRS,rake_handle,DI,DSRS_010,38.08348097,-121.720742,2017-05-25,1,1570,STUPEC,0,0,0
DSRS,rake_handle,DI,DSRS_010,38.08348097,-121.720742,2017-05-25,1,1570,NAJGUA,0,0,0
DSRS,rake_handle,DI,DSRS_010,38.08348097,-121.720742,2017-05-25,1,1570,POTNOD,0,0,0
DSRS,rake_handle,DI,DSRS_010,38.08348097,-121.720742,2017-05-25,1,1570,CABCAR,0,0,0
DSRS,rake_handle,DI,DSRS_011,38.08350533,-121.7165812,2017-05-25,1,284,EGEDEN,1,100,284
DSRS,rake_handle,DI,DSRS_011,38.08350533,-121.7165812,2017-05-25,1,284,ELOCAN,0,0,0
DSRS,rake_handle,DI,DSRS_011,38.08350533,-121.7165812,2017-05-25,1,284,CERDEM,0,0,0
DSRS,rake_handle,DI,DSRS_011,38.08350533,-121.7165812,2017-05-25,1,284,POTCRI,0,0,0
DSRS,rake_handle,DI,DSRS_011,38.08350533,-121.7165812,2017-05-25,1,284,MYRSPI,0,0,0
DSRS,rake_handle,DI,DSRS_011,38.08350533,-121.7165812,2017-05-25,1,284,STUPEC,0,0,0
DSRS,rake_handle,DI,DSRS_011,38.08350533,-121.7165812,2017-05-25,1,284,NAJGUA,0,0,0
DSRS,rake_handle,DI,DSRS_011,38.08350533,-121.7165812,2017-05-25,1,284,POTNOD,0,0,0
DSRS,rake_handle,DI,DSRS_011,38.08350533,-121.7165812,2017-05-25,1,284,CABCAR,0,0,0
DSRS,rake_handle,DI,DSRS_012,38.08351844,-121.7218852,2017-05-25,1,1542,EGEDEN,1,100,1542
DSRS,rake_handle,DI,DSRS_012,38.08351844,-121.7218852,2017-05-25,1,1542,ELOCAN,0,0,0
DSRS,rake_handle,DI,DSRS_012,38.08351844,-121.7218852,2017-05-25,1,1542,CERDEM,0,0,0
DSRS,rake_handle,DI,DSRS_012,38.08351844,-121.7218852,2017-05-25,1,1542,POTCRI,0,0,0
DSRS,rake_handle,DI,DSRS_012,38.08351844,-121.7218852,2017-05-25,1,1542,MYRSPI,0,0,0
DSRS,rake_handle,DI,DSRS_012,38.08351844,-121.7218852,2017-05-25,1,1542,STUPEC,0,0,0
DSRS,rake_handle,DI,DSRS_012,38.08351844,-121.7218852,2017-05-25,1,1542,NAJGUA,0,0,0
DSRS,rake_handle,DI,DSRS_012,38.08351844,-121.7218852,2017-05-25,1,1542,POTNOD,0,0,0
DSRS,rake_handle,DI,DSRS_012,38.08351844,-121.7218852,2017-05-25,1,1542,CABCAR,0,0,0
DSRS,rake_handle,DI,DSRS_013,38.08360829,-121.7198334,2017-05-25,1,1302,EGEDEN,1,100,1302
DSRS,rake_handle,DI,DSRS_013,38.08360829,-121.7198334,2017-05-25,1,1302,ELOCAN,0,0,0
DSRS,rake_handle,DI,DSRS_013,38.08360829,-121.7198334,2017-05-25,1,1302,CERDEM,0,0,0
DSRS,rake_handle,DI,DSRS_013,38.08360829,-121.7198334,2017-05-25,1,1302,POTCRI,0,0,0
DSRS,rake_handle,DI,DSRS_013,38.08360829,-121.7198334,2017-05-25,1,1302,MYRSPI,0,0,0
DSRS,rake_handle,DI,DSRS_013,38.08360829,-121.7198334,2017-05-25,1,1302,STUPEC,0,0,0
DSRS,rake_handle,DI,DSRS_013,38.08360829,-121.7198334,2017-05-25,1,1302,NAJGUA,0,0,0
DSRS,rake_handle,DI,DSRS_013,38.08360829,-121.7198334,2017-05-25,1,1302,POTNOD,0,0,0
DSRS,rake_handle,DI,DSRS_013,38.08360829,-121.7198334,2017-05-25,1,1302,CABCAR,0,0,0
DSRS,rake_handle,DI,DSRS_014,38.08363244,-121.7174882,2017-05-25,1,510,EGEDEN,1,100,510
DSRS,rake_handle,DI,DSRS_014,38.08363244,-121.7174882,2017-05-25,1,510,ELOCAN,0,0,0
DSRS,rake_handle,DI,DSRS_014,38.08363244,-121.7174882,2017-05-25,1,510,CERDEM,0,0,0
DSRS,rake_handle,DI,DSRS_014,38.08363244,-121.7174882,2017-05-25,1,510,POTCRI,0,0,0
DSRS,rake_handle,DI,DSRS_014,38.08363244,-121.7174882,2017-05-25,1,510,MYRSPI,0,0,0
DSRS,rake_handle,DI,DSRS_014,38.08363244,-121.7174882,2017-05-25,1,510,STUPEC,0,0,0
DSRS,rake_handle,DI,DSRS_014,38.08363244,-121.7174882,2017-05-25,1,510,NAJGUA,0,0,0
DSRS,rake_handle,DI,DSRS_014,38.08363244,-121.7174882,2017-05-25,1,510,POTNOD,0,0,0
DSRS,rake_handle,DI,DSRS_014,38.08363244,-121.7174882,2017-05-25,1,510,CABCAR,0,0,0
DSRS,rake_handle,DI,DSRS_015,38.08363839,-121.7193905,2017-05-25,1,1650,EGEDEN,1,100,1650
DSRS,rake_handle,DI,DSRS_015,38.08363839,-121.7193905,2017-05-25,1,1650,ELOCAN,0,0,0
DSRS,rake_handle,DI,DSRS_015,38.08363839,-121.7193905,2017-05-25,1,1650,CERDEM,0,0,0
