site_code,sample_id,sample_method,sample_date,latitude_wgs84,longitude_wgs84,sav_incidence,sav_mass_fresh_g
DI,DSRS_001,rake_handle,2017-05-25,38.08298879,-121.7239087,0,0
DI,DSRS_002,rake_handle,2017-05-25,38.08307424,-121.7223954,1,700
DI,DSRS_003,rake_handle,2017-05-25,38.08320284,-121.7233099,1,832
DI,DSRS_004,rake_handle,2017-05-25,38.08328967,-121.723838,1,1746
DI,DSRS_005,rake_handle,2017-05-25,38.08334413,-121.7232947,1,1397
DI,DSRS_006,rake_handle,2017-05-25,38.08336408,-121.7198779,1,1060
DI,DSRS_007,rake_handle,2017-05-25,38.08338551,-121.7221642,1,1076
DI,DSRS_008,rake_handle,2017-05-25,38.08341728,-121.7215249,1,2658
DI,DSRS_009,rake_handle,2017-05-25,38.08342133,-121.7191173,1,304
DI,DSRS_010,rake_handle,2017-05-25,38.08348097,-121.720742,1,1570
DI,DSRS_011,rake_handle,2017-05-25,38.08350533,-121.7165812,1,284
DI,DSRS_012,rake_handle,2017-05-25,38.08351844,-121.7218852,1,1542
DI,DSRS_013,rake_handle,2017-05-25,38.08360829,-121.7198334,1,1302
DI,DSRS_014,rake_handle,2017-05-25,38.08363244,-121.7174882,1,510
DI,DSRS_015,rake_handle,2017-05-25,38.08363839,-121.7193905,1,1650
DI,DSRS_016,rake_handle,2017-05-25,38.08368829,-121.7167404,1,446
DI,DSRS_017,rake_handle,2017-05-25,38.08369235,-121.7191417,1,1834
DI,DSRS_018,rake_handle,2017-05-25,38.08378432,-121.72023540000001,1,652
DI,DSRS_019,rake_handle,2017-05-25,38.08387735,-121.716192,1,170
DI,DSRS_020,rake_handle,2017-05-25,38.08388725,-121.7215967,1,1678
DI,DSRS_021,rake_handle,2017-05-25,38.08398567,-121.7197774,1,5.5
FI,DSRS_022,rake_handle,2017-05-26,38.26763027,-121.6964223,1,1984
FI,DSRS_023,rake_handle,2017-05-26,38.26994335,-121.6992698,1,84
FI,DSRS_024,rake_handle,2017-05-26,38.27050458,-121.7002631,1,390
FI,DSRS_025,rake_handle,2017-05-26,38.270544,-121.6982761,1,1388
FI,DSRS_026,rake_handle,2017-05-26,38.27132717,-121.7011886,1,596
FI,DSRS_027,rake_handle,2017-05-26,38.27207945,-121.6971491,1,1774
FI,DSRS_028,rake_handle,2017-05-26,38.2725258,-121.6967073,1,1638
FI,DSRS_029,rake_handle,2017-05-26,38.27310769,-121.6975999,1,1636
FI,DSRS_030,rake_handle,2017-05-26,38.27323474,-121.6996389,1,568
FI,DSRS_031,rake_handle,2017-05-26,38.27421709,-121.70282,1,716
LH,DSRS_032,rake_handle,2017-05-26,38.24555041,-121.6937884,1,252
LH,DSRS_033,rake_handle,2017-05-26,38.2465287,-121.6913154,1,228
LH,DSRS_034,rake_handle,2017-05-26,38.24689803,-121.6899908,1,34
LH,DSRS_035,rake_handle,2017-05-26,38.24699389,-121.6891736,1,1024
LH,DSRS_036,rake_handle,2017-05-26,38.2481176,-121.6906859,1,896
LH,DSRS_037,rake_handle,2017-05-26,38.24835096,-121.6920564,1,300
LH,DSRS_038,rake_handle,2017-06-06,38.24468952,-121.6931617,1,632
LH,DSRS_039,rake_handle,2017-06-06,38.24508961,-121.6913296,1,1168
LH,DSRS_040,rake_handle,2017-06-06,38.24518225,-121.6944266,1,1368
LH,DSRS_041,rake_handle,2017-06-06,38.24545465,-121.6935058,1,280
LH,DSRS_042,rake_handle,2017-06-06,38.24565774,-121.690549,1,554
LH,DSRS_043,rake_handle,2017-06-06,38.24637249,-121.6934817,1,362
LH,DSRS_044,rake_handle,2017-06-06,38.24685548,-121.6922966,1,308
LH,DSRS_045,rake_handle,2017-06-06,38.24689429,-121.6899965,1,656
LH,DSRS_046,rake_handle,2017-06-06,38.24697136,-121.688657,1,352
LH,DSRS_047,rake_handle,2017-06-06,38.24779263,-121.6941337,1,13.4
LH,DSRS_048,rake_handle,2017-06-06,38.24803864,-121.6887539,1,545
LH,DSRS_049,rake_handle,2017-06-06,38.24947729,-121.6944223,1,1796
LH,DSRS_050,rake_handle,2017-06-06,38.24961873,-121.6905217,1,1942
LH,DSRS_051,rake_handle,2017-06-06,38.25030716,-121.6933073,1,111.69999999999999
LH,DSRS_052,rake_handle,2017-06-06,38.25044895,-121.6914357,1,390
LH,DSRS_053,rake_handle,2017-06-06,38.25093282,-121.6907016,1,1284
LH,DSRS_054,rake_handle,2017-06-06,38.25120494,-121.6936992,1,1010
LH,DSRS_055,rake_handle,2017-06-06,38.25153986,-121.6896752,1,980
LH,DSRS_056,rake_handle,2017-06-06,38.2518531,-121.6917716,1,1426
LH,DSRS_057,rake_handle,2017-06-06,38.25251192,-121.6925902,1,7
LH,DSRS_058,rake_handle,2017-06-06,38.25299725,-121.6918652,1,47.5
LH,DSRS_059,rake_handle,2017-06-06,38.25326228,-121.693796,1,482.70000000000005
LH,DSRS_060,rake_handle,2017-06-06,38.25446034,-121.6934283,1,646
LH,DSRS_061,rake_handle,2017-06-06,38.25475336,-121.6913076,1,344
DI,DSRS_062,rake_handle,2017-06-07,38.08306008,-121.7239361,1,2998
DI,DSRS_063,rake_handle,2017-06-07,38.08308915,-121.7234683,1,936
DI,DSRS_064,rake_handle,2017-06-07,38.08316828,-121.7225184,1,4546
DI,DSRS_065,rake_handle,2017-06-07,38.08327953,-121.7222348,1,5362
DI,DSRS_066,rake_handle,2017-06-07,38.08328552,-121.7200184,1,3294
DI,DSRS_067,rake_handle,2017-06-07,38.08328563,-121.7187903,0,0
DI,DSRS_068,rake_handle,2017-06-07,38.08330777,-121.7192406,0,0
DI,DSRS_069,rake_handle,2017-06-07,38.08334974,-121.7238735,1,3372
DI,DSRS_070,rake_handle,2017-06-07,38.08340322,-121.7174494,1,518
DI,DSRS_071,rake_handle,2017-06-07,38.08344395,-121.7182131,1,2850
DI,DSRS_072,rake_handle,2017-06-07,38.08354115,-121.7165833,1,1064
DI,DSRS_073,rake_handle,2017-06-07,38.0837242,-121.7191367,1,5630
FI,DSRS_074,rake_handle,2017-06-07,38.26776252,-121.6962613,1,356
FI,DSRS_075,rake_handle,2017-06-07,38.26936031,-121.6991447,1,1056
FI,DSRS_076,rake_handle,2017-06-07,38.26995501,-121.6992214,1,898
FI,DSRS_077,rake_handle,2017-06-07,38.27072851,-121.7004755,1,178
FI,DSRS_078,rake_handle,2017-06-07,38.27122004,-121.7010104,1,802
FI,DSRS_079,rake_handle,2017-06-07,38.27246684,-121.6977165,1,348
FI,DSRS_080,rake_handle,2017-06-07,38.27256215,-121.6967195,1,2224
FI,DSRS_081,rake_handle,2017-06-09,38.27065425,-121.698259,1,2009.9999999999998
FI,DSRS_082,rake_handle,2017-06-09,38.27182254,-121.6969043,1,418
FI,DSRS_083,rake_handle,2017-06-09,38.27199374,-121.6972303,1,6550
FI,DSRS_084,rake_handle,2017-06-09,38.27302454,-121.6966846,1,2498
FI,DSRS_085,rake_handle,2017-06-09,38.27310927,-121.7017116,1,910
FI,DSRS_086,rake_handle,2017-06-09,38.27318356,-121.6998409,1,1912
FI,DSRS_087,rake_handle,2017-06-09,38.27321993,-121.6975939,1,1952
FI,DSRS_088,rake_handle,2017-06-09,38.27328017,-121.7025683,1,242
FI,DSRS_089,rake_handle,2017-06-09,38.27418834,-121.702307,1,8894
FI,DSRS_090,rake_handle,2017-06-09,38.27472434,-121.7002072,0,0
FI,DSRS_091,rake_handle,2017-06-09,38.2753047,-121.7000102,1,1820
FI,DSRS_092,rake_handle,2017-06-09,38.27578531,-121.7000151,1,308
FI,DSRS_093,rake_handle,2017-06-09,38.27605295,-121.6971473,1,91.7
DI,DSRS_094,rake_handle,2017-07-31,38.08305964,-121.7220393,1,332
DI,DSRS_095,rake_handle,2017-07-31,38.0830891,-121.7234904,1,586
DI,DSRS_096,rake_handle,2017-07-31,38.08330677,-121.7243219,1,1762
DI,DSRS_097,rake_handle,2017-07-31,38.08331989,-121.7240486,1,1036
DI,DSRS_098,rake_handle,2017-07-31,38.08335863,-121.7236213,1,652
DI,DSRS_099,rake_handle,2017-07-31,38.08336486,-121.7225147,1,604
DI,DSRS_100,rake_handle,2017-07-31,38.08344484,-121.7173794,1,888
DI,DSRS_101,rake_handle,2017-07-31,38.08347563,-121.7164853,1,292
DI,DSRS_102,rake_handle,2017-07-31,38.08355391,-121.7222007,1,952
DI,DSRS_103,rake_handle,2017-07-31,38.0835885,-121.7215875,1,850
DI,DSRS_104,rake_handle,2017-07-31,38.08361166,-121.7160742,1,242
DI,DSRS_105,rake_handle,2017-07-31,38.08368558,-121.7191609,1,1680
DI,DSRS_106,rake_handle,2017-07-31,38.08372838,-121.7154208,1,17.2
DI,DSRS_107,rake_handle,2017-07-31,38.08375919,-121.7175927,1,248.9
DI,DSRS_108,rake_handle,2017-07-31,38.0837612,-121.718623,1,444
DI,DSRS_109,rake_handle,2017-07-31,38.08376756,-121.7168901,1,230
DI,DSRS_110,rake_handle,2017-07-31,38.08378139,-121.7162989,1,188
DI,DSRS_111,rake_handle,2017-07-31,38.08386443,-121.7219157,1,648
DI,DSRS_112,rake_handle,2017-07-31,38.08388413,-121.7192935,1,854
DI,DSRS_113,rake_handle,2017-07-31,38.08389487,-121.7202568,1,296
LH,DSRS_114,rake_handle,2017-08-01,38.2448812,-121.6934998,1,1462
LH,DSRS_115,rake_handle,2017-08-01,38.24502279,-121.6916628,1,1018
LH,DSRS_116,rake_handle,2017-08-01,38.2451243,-121.6943444,1,2160
LH,DSRS_117,rake_handle,2017-08-01,38.24521554,-121.6933457,1,2660
LH,DSRS_118,rake_handle,2017-08-01,38.24540445,-121.6937702,1,1568
LH,DSRS_119,rake_handle,2017-08-01,38.24548622,-121.6931602,1,NA
LH,DSRS_120,rake_handle,2017-08-01,38.24551309,-121.6906594,1,990
LH,DSRS_121,rake_handle,2017-08-01,38.24571864,-121.69207,1,3840
LH,DSRS_122,rake_handle,2017-08-01,38.24609522,-121.694886,1,1806
LH,DSRS_123,rake_handle,2017-08-01,38.24643696,-121.6910849,1,1118
LH,DSRS_124,rake_handle,2017-08-01,38.24654422,-121.6934401,1,558
LH,DSRS_125,rake_handle,2017-08-01,38.24676576,-121.6918572,1,1374
LH,DSRS_126,rake_handle,2017-08-01,38.24677986,-121.6899761,1,498
LH,DSRS_127,rake_handle,2017-08-01,38.24689365,-121.6887045,1,1590
LH,DSRS_128,rake_handle,2017-08-01,38.24761012,-121.6913499,1,754
LH,DSRS_129,rake_handle,2017-08-01,38.24776353,-121.6938491,1,548
LH,DSRS_130,rake_handle,2017-08-01,38.24800781,-121.6885455,1,2348
LH,DSRS_131,rake_handle,2017-08-01,38.24846981,-121.6946507,1,304
LH,DSRS_132,rake_handle,2017-08-01,38.2488213,-121.6938401,1,234
LH,DSRS_133,rake_handle,2017-08-01,38.24947123,-121.6945193,1,686
LH,DSRS_134,rake_handle,2017-08-01,38.24966076,-121.6908522,1,584
LH,DSRS_135,rake_handle,2017-08-01,38.25000733,-121.6917466,1,772
LH,DSRS_136,rake_handle,2017-08-01,38.25016373,-121.6908731,1,1338
LH,DSRS_137,rake_handle,2017-08-01,38.25038088,-121.6933186,1,908
LH,DSRS_138,rake_handle,2017-08-01,38.25046697,-121.6914474,1,2017.9999999999998
LH,DSRS_139,rake_handle,2017-08-01,38.25078964,-121.6911864,1,1582
LH,DSRS_140,rake_handle,2017-08-01,38.25088617,-121.6906255,1,1734
LH,DSRS_141,rake_handle,2017-08-01,38.25103742,-121.6938155,1,1562
LH,DSRS_142,rake_handle,2017-08-01,38.25136017,-121.6935668,1,1170
LH,DSRS_143,rake_handle,2017-08-01,38.25170322,-121.6896016,1,1042
LH,DSRS_144,rake_handle,2017-08-01,38.2519371,-121.6917739,1,4006
LH,DSRS_145,rake_handle,2017-08-01,38.2523384,-121.6939715,1,922
LH,DSRS_146,rake_handle,2017-08-01,38.25246332,-121.6911569,1,3630
LH,DSRS_147,rake_handle,2017-08-01,38.25248297,-121.6928873,1,486
LH,DSRS_148,rake_handle,2017-08-01,38.2530687,-121.6919977,1,2830
LH,DSRS_149,rake_handle,2017-08-01,38.25314469,-121.6910106,1,2468
