species_code,tsn,family,genus,specific_epithet,species,native,BASS,CSTARS,DSRS,FRANKS
CABCAR,18408,Cabombaceae,Cabomba,caroliniana,Cabomba_caroliniana,n,315,166,5,0
CERDEM,18403,Ceratophyllaceae,Ceratophyllum,demersum,Ceratophyllum_demersum,n,963,1119,320,514
ECHBER,182443,Alismataceae,Echinodorus,berteroi,Echinodorus_berteroi,y,NA,NA,NA,NA
EGEDEN,38972,Hydrocharitaceae,Egeria,densa,Egeria_densa,n,1830,2216,745,473
ELOCAN,38937,Hydrocharitaceae,Elodea,canadensis,Elodea_canadensis,y,352,215,184,270
FILALG,NA,NA,filamentous,algae,filamentous_algae,y,0,339,0,0
HETDUB,502960,Pontederiaceae,Heteranthera,dubia,Heteranthera_dubia,y,0,5,0,1
MYRSPI,27039,Haloragaceae,Myriophyllum,spicatum,Myriophyllum_spicatum,n,328,544,81,45
NAJGUA,38998,Hydrocharitaceae,Najas,guadalupensis,Najas_guadalupensis,y,0,64,7,327
NITELL,9467,Characeae,Nitella,sp,Nitella_sp,y,0,0,0,8
POTCRI,39007,Potamogetonaceae,Potamogeton,crispus,Potamogeton_crispus,n,337,326,120,101
POTFOL,39019,Potamogetonaceae,Potamogeton,foliosus,Potamogeton_foliosus,y,0,0,0,70
POTNOD,39009,Potamogetonaceae,Potamogeton,nodosus,Potamogeton_nodosus,y,2,40,1,4
POTPUS,39017,Potamogetonaceae,Potamogeton,pusillus,Potamogeton_pusillus,y,0,1,0,7
POTRIC,504558,Potamogetonaceae,Potamogeton,richardsonii,Potamogeton_richardsonii,y,0,81,0,523
POTZOS,39055,Potamogetonaceae,Potamogeton,zosteriformis,Potamogeton_zosteriformis,y,0,0,0,1
STUFIL,565546,Potamogetonaceae,Stuckenia,filiformis,Stuckenia_filiformis,y,41,0,0,133
STUPEC,757504,Potamogetonaceae,Stuckenia,pectinata,Stuckenia_pectinata,y,67,276,2,115
VALAUS,NA,Hydrocharitaceae,Vallisneria,australis,Vallisneria_australis,n,0,3,0,0
