station,date,time_pst,latitude_wgs84,longitude_wgs84,rake_teeth,Egeria_densa,Ceratophyllum_demersum,Myriophyllum_spicatum,algae,Potamogeton_nodosus,Potamogeton_crispus,Stuckenia_pectinata,Cabomba_caroliniana,Elodea_canadensis,Potamogeton_richardsonii,Najas_guadalupensis,Potamogeton_pusillus,Echinodorus_berteroi,Vallisneria_australis,Heteranthera_dubia,comments,tot_cover_spp,rake_teeth_logical,tot_cover_spp_logical,rake_diff
2048,2008-06-24,13:11:05,38.04249481,-121.8107699,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
2057,2008-06-23,12:57:43,38.09848537,-121.5659632,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4050,2017-10-05,12:57:38,38.00816527,-121.5139076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4063,2017-10-05,08:50:34,38.00922383,-121.5734552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4096,2017-10-03,13:24:28,38.03312867,-121.4870381,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4116,2017-10-05,12:25:23,38.03517825,-121.605696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4118,2017-10-05,11:53:51,38.02521936,-121.6094231,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4125,2017-10-05,09:27:49,38.06099221,-121.5855226,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4130,2017-10-04,12:52:24,38.25974733,-121.6899936,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4131,2017-10-04,12:48:07,38.25912137,-121.690019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4133,2017-10-04,12:31:53,38.27913097,-121.6875463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4134,2017-10-04,11:14:49,38.31851464,-121.678307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4135,2017-10-04,10:32:33,38.30770097,-121.6690619,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,humongous,0,1,0,1
4136,2017-10-04,10:21:41,38.30231845,-121.6725634,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4137,2017-10-04,10:04:49,38.29082407,-121.6727456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4138,2017-10-04,09:56:33,38.28071908,-121.6762381,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,humongous,0,1,0,1
4139,2017-10-04,09:39:37,38.2635366,-121.6718313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4140,2017-10-04,09:22:07,38.25245068,-121.6742848,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,patchy veg all around,0,1,0,1
