ORIG_FID,VisSpp1,VisCov1,VisSpp2,VisCov2,VisSpp3,VisCov3,VisSpp4,VisCov4,VisSpp5,VisCov5,CovDry,CovWat,CovEpiAlg,PatLen,PatWid,Location,PositionIn,Preassigned,MatDensity,DepToSAV,Secchi,ScAtBot,Date,Time,Latitude,Longitude,Comments
1,Egeria,0.7,Watermilfoil,0.1,Coontail,0.1,,,,,,,,XL (>15m),S (3-5m),center,,No,,3,4,No,20070627,03:03:04pm,38.22744664,-121.4953596,
2,Coontail,0.3,,,,,,,,,,,,XL (>15m),S (3-5m),center,,No,,0,3.75,No,20070627,09:27:09am,38.22569012,-121.5338851,
3,Coontail,0.9,,,,,,,,,,,,M (5-10m),S (3-5m),center,,No,,0,3.5,No,20070627,09:36:52am,38.22328613,-121.5428254,
4,Watermilfoil,0.5,Coontail,0.1,,,,,,,,,,L (10-15m),S (3-5m),,,No,,5,3.5,No,20070627,03:10:36pm,38.22709764,-121.5005092,
5,Coontail,0.5,Elodea,0.5,,,,,,,,,,L (10-15m),M (5-10m),center,,No,,0,5.5,No,20070627,09:53:20am,38.2100609,-121.5390438,"elodea 1feet on bottom, close 2 shore"
6,Coontail,0.9,,,,,,,,,,,,S (3-5m),S (3-5m),center,,No,,,4,No,20070627,10:08:56am,38.20185437,-121.5407603,
7,Watermilfoil,0.5,Coontail,0.1,Egeria,0.1,Am_Pondweed,0.1,Elodea,0.01,,,,XL (>15m),L (10-15m),center,,No,,0,3.5,No,20070627,02:25:03pm,38.1974739,-121.5250746,
8,Watermilfoil,0.9,,,,,,,,,,,,XL (>15m),S (3-5m),center,,No,,0,3.5,No,20070627,02:31:19pm,38.20751877,-121.5079766,
9,Egeria,0.9,Algae,0.9,,,,,,,,,,XL (>15m),M (5-10m),range finder,,No,,0,3,No,20070626,02:15:48pm,38.19543386,-121.4662754,
10,Watermilfoil,0.7,Curlyleaf,0.1,Algae,0.5,,,,,,0.3,,L (10-15m),M (5-10m),range finder,,No,,0,3,No,20070626,02:09:44pm,38.19469733,-121.4777047,
11,Egeria,0.9,Algae,0.7,,,,,,,,,,XL (>15m),L (10-15m),range finder,,No,,0,4,No,20070626,01:09:52pm,38.17051727,-121.4539605,
12,Egeria,0.9,Algae,0.1,,,,,,,,,,XL (>15m),L (10-15m),range finder,,No,,0,4,No,20070626,01:51:56pm,38.17099934,-121.4956748,
13,Egeria,0.9,Algae,0.7,Watermilfoil,0.1,,,,,,,,XL (>15m),S (3-5m),range finder,,No,,0,4,Yes,20070626,01:17:33pm,38.17366379,-121.440695,
14,Watermilfoil,0.9,Egeria,0.9,,,,,,,,,,XL (>15m),XL (>15m),range finder,,No,,0,0.5,No,20070626,01:26:42pm,38.17477142,-121.4324542,
15,Coontail,0.5,,,,,,,,,,,,M (5-10m),M (5-10m),center,,No,,0,3.5,No,20070627,10:27:27am,38.18333869,-121.567875,
16,Coontail,0.9,,,,,,,,,,,,XL (>15m),S (3-5m),center,,No,,0,3.5,No,20070627,10:32:38am,38.18222372,-121.5711849,
17,Watermilfoil,0.7,Coontail,0.1,,,,,,,,,,XL (>15m),S (3-5m),center,,No,,0,3.5,No,20070627,10:39:52am,38.17308849,-121.5799289,
18,Watermilfoil,0.5,,,,,,,,,,,,XL (>15m),L (10-15m),center,,No,,1,4.5,No,20070627,02:15:15pm,38.17948583,-121.526104,
19,Egeria,0.9,,,,,,,,,,,,XL (>15m),L (10-15m),range finder,,No,,0,3,No,20070626,12:48:44pm,38.1591131,-121.5015591,
20,Egeria,0.9,Algae,0.7,,,,,,,,,,XL (>15m),M (5-10m),range finder,,No,,0,4,No,20070626,01:02:48pm,38.16936884,-121.4615735,
21,Egeria,0.9,Algae,0.9,,,,,,,,,,XL (>15m),S (3-5m),range finder,,No,,0,3.75,No,20070626,01:07:09pm,38.17002406,-121.4561189,
22,Egeria,0.9,,,,,,,,,,,,XL (>15m),L (10-15m),side,,No,,0,5,No,20070627,02:05:30pm,38.16070217,-121.5335328,
23,Algae,0.9,Coontail,0.1,,,,,,,,,,XL (>15m),L (10-15m),range finder,,No,,0,3.75,No,20070626,01:45:05pm,38.16671622,-121.4919603,
24,Watermilfoil,0.9,Coontail,0.1,,,,,,,,,,XL (>15m),L (10-15m),center,,No,,0,3,No,20070627,10:46:16am,38.16534105,-121.5829,
25,Watermilfoil,0.7,,,,,,,,,,,,XL (>15m),XL (>15m),side,,No,,0,2.5,Yes,20070627,02:10:28pm,38.1632421,-121.5336241,
26,Egeria,0.9,Algae,0.7,,,,,,,,,,XL (>15m),L (10-15m),range finder,,No,,0,3,No,20070626,11:36:06am,38.1460478,-121.5109148,
27,Egeria,0.9,Algae,0.9,Coontail,0.1,,,,,,,,XL (>15m),L (10-15m),range finder,,No,,0,2.75,No,20070626,12:34:50pm,38.14880019,-121.5052818,
28,Egeria,0.7,Algae,0.3,,,,,,,,,,L (10-15m),L (10-15m),center,,No,,5,5.5,No,20070627,01:57:40pm,38.15434806,-121.5356553,
29,Watermilfoil,0.7,,,,,,,,,,,,XL (>15m),XL (>15m),range finder,,No,,3,4,No,20070627,02:02:00pm,38.15684804,-121.5352597,
30,Am_Pondweed,0.9,Watermilfoil,0.1,Algae,0.1,,,,,,,,L (10-15m),M (5-10m),range finder,,No,,0,2.75,No,20070626,12:43:24pm,38.15562934,-121.5030462,
31,Curlyleaf,0.9,Algae,0.3,,,,,,,,,,XL (>15m),L (10-15m),range finder,,No,,0,2.75,No,20070626,12:45:17pm,38.15568995,-121.5030755,
32,Watermilfoil,0.9,,,,,,,,,,,,XL (>15m),S (3-5m),side,,No,,0,2,Yes,20070627,10:59:12am,38.1520587,-121.5909898,
33,Watermilfoil,0.9,,,,,,,,,,,,XL (>15m),S (3-5m),,,No,,0,3.5,No,20070627,12:45:59pm,38.15149767,-121.593918,
34,Egeria,0.9,Algae,0.9,,,,,,,,,,XL (>15m),M (5-10m),range finder,,No,,0,4.5,No,20070626,10:26:09am,38.14315607,-121.4918487,
35,Egeria,0.9,,,,,,,,,,,,L (10-15m),L (10-15m),range finder,,No,,0,5,No,20070626,10:41:47am,38.14186858,-121.4761359,
36,Egeria,0.9,,,,,,,,,,,,XL (>15m),L (10-15m),range finder,,No,,0,4,No,20070626,10:43:18am,38.14160594,-121.476568,
37,Egeria,0.9,Algae,0.3,,,,,,,,,,XL (>15m),XL (>15m),range finder,,No,,0,5.75,No,20070626,10:48:12am,38.14220579,-121.4700404,
38,Egeria,0.9,,,,,,,,,,,,XL (>15m),XL (>15m),range finder,,No,,,,No,20070626,10:53:35am,38.1411637,-121.4669457,
39,Egeria,0.9,,,,,,,,,,,,XL (>15m),XL (>15m),range finder,,No,,0,5,No,20070626,11:01:41am,38.14119547,-121.4498016,
40,Egeria,0.9,Algae,0.9,,,,,,,,,,XL (>15m),XL (>15m),range finder,,No,,0,4,No,20070626,11:30:15am,38.14452662,-121.5074901,
41,Egeria,0.7,Cabomba,0.1,Coontail,0.1,Watermilfoil,0.1,,,,,,XL (>15m),L (10-15m),side,,No,,0,2.5,Yes,20070627,01:34:45pm,38.13998076,-121.5576183,
42,Algae,0.9,Egeria,0.7,Coontail,0.3,,,,,,,,XL (>15m),M (5-10m),range finder,,No,,0,4,No,20070626,10:16:28am,38.14152814,-121.4991722,
43,Algae,0.9,Egeria,0.9,,,,,,,,,,XL (>15m),L (10-15m),range finder,,No,,0,4,No,20070626,10:21:08am,38.1430092,-121.4953675,
44,Algae,0.9,Watermilfoil,0.9,Coontail,0.1,Egeria,0.1,,,,,,XL (>15m),XL (>15m),range finder,,No,,0,4,No,20070626,10:30:13am,38.14174768,-121.4892226,
45,Watermilfoil,0.9,Coontail,0.1,,,,,,,,,,XL (>15m),M (5-10m),center,,No,,2,99,No,20070627,11:14:12am,38.14669381,-121.5903845,
46,Coontail,0.5,Watermilfoil,0.1,,,,,,,,,,L (10-15m),S (3-5m),center,,No,,0,4.25,No,20070627,01:00:29pm,38.13811677,-121.5967046,
47,Egeria,0.7,Algae,0.1,,,,,,,,,,XL (>15m),M (5-10m),center,,No,,0,4,No,20070625,02:39:35pm,38.12938413,-121.5628286,
48,Egeria,0.7,Algae,0.7,Watermilfoil,0.3,,,,,,0.1,,XL (>15m),M (5-10m),,,No,,0,3.25,No,20070626,09:38:23am,38.12277652,-121.4946594,
49,Watermilfoil,0.3,Coontail,0.1,Curlyleaf,0.1,,,,,,,,XL (>15m),L (10-15m),center,,No,,1,4,No,20070625,01:54:09pm,38.12200942,-121.5286687,
50,Watermilfoil,0.5,Curlyleaf,0.1,Egeria,0.1,,,,,,0.1,,XL (>15m),XL (>15m),center,,No,,1,5,No,20070625,02:35:50pm,38.13222899,-121.5669371,
51,Curlyleaf,0.7,Watermilfoil,0.1,Egeria,0.1,Algae,0.3,,,,0.1,,XL (>15m),L (10-15m),range finder,,No,,0,4,No,20070626,09:28:07am,38.12111293,-121.4954523,
52,Curlyleaf,0.7,,,,,,,,,,0.3,,M (5-10m),S (3-5m),center,,No,,0,2,Yes,20070626,09:51:00am,38.12250222,-121.4988811,
53,Egeria,0.9,Algae,0.9,,,,,,,,,,M (5-10m),S (3-5m),center,,No,,0,3.5,No,20070626,09:55:37am,38.12175396,-121.4982889,
54,Watermilfoil,0.9,Algae,0.1,,,,,,,,,,XL (>15m),M (5-10m),center,,No,,0,4.5,No,20070627,01:15:36pm,38.12948741,-121.5860559,
55,Egeria,0.5,Algae,0.1,,,,,,,,,,XL (>15m),L (10-15m),center,,No,,0,2.75,No,20070625,01:25:41pm,38.11700775,-121.4995952,
56,Watermilfoil,0.5,,,,,,,,,,,,XL (>15m),L (10-15m),center,,No,,1,4,No,20070625,02:03:11pm,38.11959934,-121.5362584,
57,Coontail,0.5,Egeria,0.3,,,,,,,,,,XL (>15m),XL (>15m),side,,No,,1,4,No,20070625,02:16:59pm,38.11756056,-121.5458396,
60,Egeria,0.9,Algae,0.9,,,,,,,,,,XL (>15m),XL (>15m),center,,No,,2,4,Yes,20070615,09:51:20am,38.10550329,-121.4922163,
61,Egeria,0.7,Algae,0.5,Watermilfoil,0.01,,,,,,,,XL (>15m),XL (>15m),center,,No,,0,5.25,No,20070614,03:00:09pm,38.08593842,-121.5573112,< 5% mil
62,Algae,0.5,Egeria,0.1,Cabomba,0.01,Watermilfoil,0.01,,,,0.4,,L (10-15m),M (5-10m),center,,No,,0.25,4,No,20070614,02:09:10pm,38.08997648,-121.5267161,"cab, eg, mil"
63,Sago,0.3,Curlyleaf,0.1,Coontail,0.1,,,,,,0.5,,XL (>15m),L (10-15m),center,,No,,0.25,4.5,No,20070614,02:18:21pm,38.09099686,-121.5296023,"pw, cury, coon"
64,Egeria,0.5,Watermilfoil,0.01,Coontail,0.01,,,,,,0.5,,XL (>15m),M (5-10m),center,,No,,0.25,4.75,No,20070614,02:22:26pm,38.08991977,-121.5318552,"eg, mil, coon"
65,Egeria,0.5,Algae,0.5,Coontail,0.01,Sago,0.01,,,,0.5,,XL (>15m),M (5-10m),center,,No,,0.25,4.25,No,20070614,02:28:15pm,38.08923183,-121.534668,"eg, alg, coon,pw"
66,Egeria,0.5,Algae,0.5,Coontail,0.01,Sago,0.01,,,,,,XL (>15m),M (5-10m),center,,No,,0.25,4.75,No,20070614,02:32:18pm,38.08584083,-121.5373729,"eg, alg, coon,pw"
67,Egeria,0.5,Algae,0.3,Coontail,0.1,Sago,0.1,,,,,,XL (>15m),S (3-5m),center,,No,,0.5,4.25,No,20070614,02:51:52pm,38.08541599,-121.5493898,"eg, alg, coon,pw"
68,Egeria,0.7,Algae,0.3,Cabomba,0.1,,,,,,,,XL (>15m),L (10-15m),center,,No,,0.5,4.25,No,20070614,03:07:19pm,38.08367,-121.5583471,"alg, cab,"
69,Egeria,0.5,Algae,0.3,Cabomba,0.1,,,,,,,,M (5-10m),S (3-5m),center,,No,,0.5,5.75,No,20070614,03:27:58pm,38.08697881,-121.5347146,"alg, cab,"
70,Egeria,0.7,Cabomba,0.1,Algae,0.5,,,,,,,,M (5-10m),M (5-10m),center,,No,,1,4.25,No,20070615,09:53:45am,38.08935539,-121.4803721,
71,Egeria,0.5,Algae,0.3,Algae,0.1,,,,,,,,XL (>15m),M (5-10m),center,,No,,0,,No,20070613,03:32:44pm,38.08483092,-121.4162369,smelly bubbly sulfide-pee yew!
72,Algae,0.7,Mixed,0.1,,,,,,,,,,L (10-15m),M (5-10m),center,,No,,0.5,4.25,No,20070615,10:07:17am,38.09305935,-121.4908067,
73,Algae,0.7,Egeria,0.3,Algae,0.3,,,,,,,,XL (>15m),L (10-15m),center,,No,,0,5,No,20070615,10:52:41am,38.08465501,-121.4344247,
74,Algae,0.5,Mixed,0.5,,,,,,,,,,XL (>15m),L (10-15m),center,,No,,0,2.5,No,20070613,03:24:40pm,38.0815543,-121.4160938,continuation of previous patch
75,Algae,0.7,Algae,0.3,,,,,,,,,,XL (>15m),M (5-10m),center,,No,,0,1.5,No,20070613,03:27:40pm,38.0833867,-121.4157139,
76,Watermilfoil,0.7,,,,,,,,,,0.3,,L (10-15m),L (10-15m),center,,No,,0,3,Yes,20070614,02:14:59pm,38.09145914,-121.4991476,
