ORIG_FID,VisSpp1,VisCov1,VisSpp2,VisCov2,VisSpp3,VisCov3,VisSpp4,VisCov4,VisSpp5,VisCov5,CovDry,CovWat,CovEpiAlg,PatLen,PatWid,Location,PositionIn,Preassigned,MatDensity,DepToSAV,Secchi,ScAtBot,Date,Time,Latitude,Longitude,Comments,RkTthCov,RkSpp1,RkCov1,RkSpp2,RkCov2,RkSpp3,RkCov3,RkSpp4,RkCov4,RkSpp5,RkCov5
319,Algae,0.5,Azolla,0.1,Duckweed,0.1,Egeria,0.9,,,,,,L (10-15m),S (3-5m),center,,No,,0,9.5,No,10/29/2007,12:56:17pm,38.06100511,-121.5003256,"100 eg, but other sp present",,Egeria,1,,,,,,,,
317,Algae,0.9,Azolla,0.1,,,,,,,,,,M (5-10m),S (3-5m),center,,No,,,,No,11/1/2007,02:16:05pm,38.00850837,-121.3901101,no rake photo,,,,,,,,,,,
321,Algae,0.9,Azolla,0.1,,,,,,,,,,XL (>15m),S (3-5m),range finder,,No,,,,No,10/30/2007,02:48:49pm,38.03363686,-121.4717307,no rake photo,,,,,,,,,,,
323,Algae,0.9,Azolla,0.1,,,,,,,,,,XL (>15m),L (10-15m),range finder,,No,,,,No,10/30/2007,03:17:00pm,38.03084909,-121.4887751,no rake photo,,,,,,,,,,,
432,Algae,0.9,Cabomba,0.1,,,,,,,,,,XL (>15m),XL (>15m),center,,No,,3,5,Yes,11/1/2007,02:40:21pm,38.11901414,-121.5856744,cab50 alg50,,Cabomba,0.5,Algae,0.5,,,,,,
125,Algae,0.9,Curlyleaf,0.1,,,,,,,,,,S (3-5m),S (3-5m),center,,Yes,,1.5,1.5,Yes,11/1/2007,10:28:05am,38.00089695,-121.5784154,alg80 cpw20,,Algae,0.8,Curlyleaf,0.2,,,,,,
127,Algae,0.7,Curlyleaf,0.1,,,,,,,,,,M (5-10m),M (5-10m),center,,No,,0.75,2.5,Yes,11/1/2007,10:43:39am,37.9998721,-121.5769644,cpw100,,Curlyleaf,1,,,,,,,,
469,Algae,0.5,Egeria,0.5,Cabomba,0.1,Watermilfoil,0.1,,,,,,L (10-15m),S (3-5m),center,,No,,3,8.5,No,10/29/2007,02:22:58pm,38.08449324,-121.5557827,75 eg 15 cab 10 mil,,Egeria,0.75,Cabomba,0.15,Watermilfoil,0.1,,,,
320,Algae,0.3,Egeria,0.5,Watermilfoil,0.5,,,,,,,,S (3-5m),S (3-5m),center,,Yes,,2,,No,10/30/2007,08:41:51am,38.04227835,-121.4359838,50 eg 50 mil,,Egeria,0.5,Watermilfoil,0.5,,,,,,
433,Algae,0.9,Egeria,0.1,Watermilfoil,0.1,,,,,,,,L (10-15m),S (3-5m),center,,No,,2,4.5,Yes,11/1/2007,02:56:48pm,38.11293991,-121.5828184,alg60 mil20 egd20,,Algae,0.6,Watermilfoil,0.2,Egeria,0.2,,,,
