ucd_id,sepro_id,pt_dist_m,northing_26910,easting_26910,date,time,feat,rake_teeth,Richardson,Egeria,Sago,Curlyleaf,Watermilfoil,Snaiad,Coontail,Algae,Elodea,Hdubia,AmPondweed,Unknown
21,1,28.1771783871,4209213.095,622216.317,2022-07-29,12:01:03pm,FLT-WPrimrose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,3,7.11686780582,4209551.88,622195.136,2022-07-29,11:56:17am,SAV,30,NA,NA,NA,10,0,80,10,NA,NA,NA,NA,NA
22,5,52.3888543756,4209584.511,622863.487,2022-07-29,12:34:45pm,EMR-Tule,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,7,6.79230726209,4209921.623,622200.306,2022-07-29,11:50:47am,SAV,20,NA,NA,NA,NA,NA,NA,0,NA,NA,100,NA,NA
23,9,32.5449404616,4209941.569,622883.855,2022-07-29,12:39:18pm,SAV,40,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,100
41,11,7.41868551167,4209913.777,623623.007,2022-07-29,02:02:02pm,EMR-Tule,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,13,10.0054955468,4210292.605,621832.28,2022-07-29,11:47:46am,SAV,10,NA,10,NA,NA,NA,90,NA,NA,NA,NA,NA,NA
42,17,3.29852648061,4210286.52,623266.38,2022-07-29,02:04:46pm,SAV,0,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
40,19,5.25187465205,4210288.138,623984.418,2022-07-29,01:53:01pm,SAV,30,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,21,13.423283803,4210646.489,621464.522,2022-07-29,11:43:23am,SAV,30,NA,NA,NA,NA,NA,80,20,NA,NA,NA,NA,NA
25,23,7.83775725149,4210653.299,622193.112,2022-07-29,12:47:19pm,SAV,10,NA,NA,NA,NA,50,50,NA,NA,NA,NA,NA,NA
43,25,17.7317426321,4210629.537,622901.274,2022-07-29,02:07:59pm,SAV,10,0,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
