vegetation_id,vist_no,sample_id_key,vegetation_code_id,area,wet_weight,dry_weight,health_code,notes
789,NA,6192,28,25,1040,NA,NA,NA
802,NA,6203,28,90,73,NA,NA,NA
806,NA,6204,28,30,1400,NA,NA,NA
807,NA,6205,28,90,50,NA,NA,NA
827,NA,6214,28,15,530,NA,NA,NA
830,NA,6217,28,30,222,NA,NA,see pic; filalg circled and not filalg
833,NA,6218,28,30,285,NA,NA,NA
842,NA,6227,28,80,13,NA,NA,NA
845,NA,6227,28,80,13,NA,NA,NA
859,NA,6236,28,10,585,NA,NA,NA
860,NA,6235,28,70,340,NA,NA,NA
862,NA,6237,28,95,130,NA,NA,NA
865,NA,6238,28,10,794,NA,NA,NA
869,NA,6239,28,5,535,NA,NA,NA
872,NA,6240,28,25,535,NA,NA,NA
882,NA,6243,28,90,110,NA,NA,NA
889,NA,6245,28,70,285,NA,NA,NA
901,NA,6249,28,65,219,NA,NA,NA
903,NA,6250,28,95,70,NA,NA,NA
948,NA,6355,28,25,125.5,NA,NA,NA
978,NA,6389,28,70,247,NA,NA,NA
984,NA,6393,28,90,14,NA,NA,NA
989,NA,6395,28,95,20,NA,NA,NA
1028,NA,6438,28,90,30,NA,NA,NA
1032,NA,6440,28,95,26,NA,NA,NA
1090,NA,6507,28,95,15,NA,NA,NA
1100,NA,6516,28,95,14,NA,NA,NA
1117,NA,6527,28,10,493,NA,NA,NA
1119,NA,6528,28,20,337,NA,NA,NA
1121,NA,6529,28,5,552,NA,NA,NA
1133,NA,6532,28,70,256,NA,NA,NA
1138,NA,6533,28,30,312,NA,NA,NA
1142,NA,6536,28,90,29,NA,NA,NA
1144,NA,6537,28,15,216,14.57,NA,NA
1147,NA,6538,28,60,144,NA,NA,NA
1154,NA,6544,28,100,1,NA,NA,NA
1159,NA,6546,28,50,60,NA,NA,NA
1162,NA,6548,28,80,25,NA,NA,NA
1166,NA,6550,28,85,158,NA,NA,NA
1175,NA,6555,28,80,20,NA,NA,NA
1209,NA,6587,28,75,80,NA,NA,NA
1211,NA,6588,28,90,15.92,2.03,NA,dw QCd by DSE on 16mar2022- ww replaced with the one ;measured in the lab rather than the field
1228,NA,6598,28,15,832,NA,NA,NA
1239,NA,6606,28,40,130,NA,NA,NA
1248,NA,6610,28,50,120,NA,NA,NA
1271,NA,6626,28,5,332,NA,NA,NA
1285,NA,6186,28,30,2400,NA,NA,NA
1290,NA,6185,28,0,3800,NA,NA,NA
1291,NA,6213,28,0,1920,NA,NA,NA
1292,NA,6212,28,0,1460,NA,NA,NA
1293,NA,6210,28,0,830,NA,NA,NA
1294,NA,6211,28,0,2100,NA,NA,NA
1295,NA,6209,28,0,2100,NA,NA,NA
1315,NA,6526,28,0,754,NA,NA,NA
1316,NA,6530,28,0,1748,NA,NA,NA
1317,NA,6531,28,0,1713,NA,NA,NA
1340,NA,6597,28,0,510.7,51.4,NA,dw QCd by DSE on 16mar2022- ww from field replaced with ww from lab
1362,NA,6661,28,80,150,NA,NA,NA
1364,NA,6662,28,80,162,NA,NA,NA
1412,NA,6680,28,95,9,NA,NA,NA
1420,NA,6684,28,85,32,NA,NA,NA
1428,NA,6685,28,40,145,NA,NA,NA
1433,NA,6688,28,25,315,NA,NA,NA
1436,NA,6689,28,30,170,NA,NA,NA
1440,NA,6690,28,10,347,NA,NA,NA
1444,NA,6691,28,0,450,NA,NA,NA
1448,NA,6692,28,0,1655,NA,NA,NA
1452,NA,6693,28,0,948,NA,NA,NA
1455,NA,6694,28,0,1235,NA,NA,NA
1458,NA,6695,28,0,1313,NA,NA,NA
1478,NA,6703,28,0,913,NA,NA,NA
1479,NA,6702,28,0,586,NA,NA,NA
1482,NA,6704,28,0,682,NA,NA,NA
1485,NA,6705,28,10,174,NA,NA,NA
1494,NA,6707,28,25,165,NA,NA,NA
1497,NA,6708,28,85,52,NA,NA,NA
1500,NA,6709,28,85,74,NA,NA,NA
1503,NA,6710,28,35,165,NA,NA,NA
1506,NA,6711,28,95,17,NA,NA,NA
1508,NA,6712,28,75,62,NA,NA,NA
1511,NA,6713,28,85,39,NA,NA,NA
1548,NA,6743,28,90,41,NA,NA,NA
1551,NA,6744,28,95,20,NA,NA,NA
1576,NA,6757,28,75,55,NA,NA,NA
1579,NA,6758,28,0,601,NA,NA,NA
1582,NA,6759,28,5,328,NA,NA,NA
1585,NA,6760,28,25,206,NA,NA,NA
1587,NA,6761,28,90,57,NA,NA,NA
1693,NA,6001,28,5,299.3,NA,NA,NA
1699,NA,6015,28,0,434.6,NA,NA,NA
1703,NA,6012,28,0,1549.6,NA,NA,NA
1761,NA,6898,28,40,175,NA,NA,NA
1765,NA,6899,28,45,118,NA,NA,NA
1811,NA,6956,28,85,252,NA,NA,NA
1819,NA,6963,28,95,8,NA,NA,NA
1849,NA,6982,28,95,817,NA,NA,NA
1913,NA,7015,28,85,440,NA,NA,NA
1926,NA,7024,28,95,20,NA,NA,NA
1940,NA,7036,28,95,30,NA,NA,NA
1980,NA,7089,28,0,531.84,61.64,NA,NA
1983,NA,7090,28,0,731,NA,NA,NA
1985,NA,7091,28,0,1374,NA,NA,NA
1987,NA,7092,28,30,407,NA,NA,NA
1989,NA,7093,28,10,1615,NA,NA,NA
1991,NA,7094,28,10,680,NA,NA,NA
1993,NA,7095,28,10,725,NA,NA,NA
1995,NA,7096,28,0,1557,NA,NA,NA
1998,NA,7097,28,10,757,NA,NA,NA
2001,NA,7098,28,0,1131,NA,NA,NA
2004,NA,7099,28,5,929,NA,NA,NA
2007,NA,7100,28,10,643,NA,NA,NA
2011,NA,7102,28,45,286,NA,NA,NA
2014,NA,7103,28,25,204,NA,NA,NA
2017,NA,7104,28,0,2390,NA,NA,NA
2019,NA,7105,28,20,244.04,16.35,NA,NA
2022,NA,7106,28,0,1369,NA,NA,NA
2026,NA,7107,28,30,755,NA,NA,NA
2029,NA,7108,28,0,932,NA,NA,NA
2362,NA,7661,28,90,68,NA,NA,NA
2367,NA,7666,28,60,230,NA,NA,dw QCd by DSE on 16mar2022- dw was done on twp subsamples...do not add them
2377,NA,7675,28,5,1050,NA,NA,NA
2378,NA,7673,28,20,400,12.67,NA,dry weight not yet confirmed by dse
2383,NA,7680,28,90,351,NA,Healthy,NA
2385,NA,7681,28,50,360,NA,NA,NA
2392,NA,7683,28,10,1350,NA,NA,NA
2398,NA,7689,28,85,15,NA,NA,NA
2404,NA,7692,28,95,67,NA,NA,NA
2414,NA,7694,28,0,940,NA,NA,NA
2417,NA,7696,28,15,170.4,13.48,NA,dw not Qcs by DES yet 28JAN2022
2420,NA,7697,28,0,790,NA,NA,NA
2427,NA,7700,28,15,430,NA,NA,NA
2431,NA,7701,28,0,224,NA,NA,NA
2442,NA,7703,28,0,2920,NA,NA,NA
2452,NA,7708,28,20,334.1,23.26,NA,DSE QC dw on 16mar2022- ww updated to what was measured in lab rather than in the field
2456,NA,7709,28,0,1071,NA,NA,NA
2466,NA,7716,28,20,1189,NA,NA,NA
2470,NA,7717,28,80,145,NA,NA,NA
2484,NA,7727,28,95,10,NA,NA,NA
2502,NA,7736,28,0,840,NA,NA,NA
2508,NA,7737,28,5,660,NA,NA,NA
2526,NA,7746,28,10,238,NA,NA,NA
2531,NA,7748,28,90,17,NA,NA,NA
2535,NA,7749,28,85,14,NA,NA,NA
2541,NA,7750,28,95,18,NA,NA,NA
2544,NA,7751,28,90,20,NA,NA,NA
2547,NA,7752,28,95,6,NA,NA,NA
2551,NA,7753,28,0,1503,NA,NA,NA
2559,NA,7758,28,5,611,NA,NA,NA
2562,NA,7759,28,5,447,NA,NA,NA
2584,NA,7782,28,80,200,NA,NA,NA
2606,NA,7805,28,80,80,NA,NA,NA
2613,NA,7812,28,90,181,NA,NA,NA
2617,NA,7813,28,25,830,NA,NA,NA
2621,NA,7814,28,20,485,NA,NA,NA
2629,NA,7818,28,10,560,NA,NA,NA
2631,NA,7819,28,10,460,NA,NA,NA
2637,NA,7822,28,10,590,NA,NA,NA
2639,NA,7824,28,60,365,NA,NA,NA
2645,NA,7827,28,90,200,NA,NA,NA
2648,NA,7828,28,90,26,NA,NA,NA
3704,NA,7555,28,0,2558.7,NA,NA,NA
3768,NA,7469,28,0,424,NA,NA,NA
3982,NA,3388,28,95,7,NA,NA,NA
3984,NA,3395,28,80,44,NA,NA,NA
4044,NA,3483,28,95,2,NA,NA,NA
4048,NA,3471,28,95,2,NA,NA,NA
4050,NA,3423,28,95,3,NA,NA,NA
4625,NA,3675,28,100,0,NA,NA,NA
4626,NA,3665,28,100,0,NA,NA,NA
4627,NA,3654,28,100,0,NA,NA,NA
4628,NA,3644,28,100,0,NA,NA,NA
4629,NA,3634,28,100,0,NA,NA,NA
4630,NA,3624,28,100,0,NA,NA,NA
4631,NA,3614,28,100,0,NA,NA,NA
4632,NA,3604,28,100,0,NA,NA,NA
4633,NA,3594,28,100,0,NA,NA,NA
4634,NA,3584,28,100,0,NA,NA,NA
4637,NA,3572,28,60,130,NA,NA,NA
4642,NA,3545,28,30,650,NA,NA,NA
4645,NA,3535,28,45,280,NA,NA,NA
